Regulator	Target	MI
MAK	KLK3	1
XBP1	TPP1	1
KLF5	CXCR4	1
ATF3	SELE	-1
MYC	EIF4G1	1
LDHA	HIF1A	1
HIF1A	LDHA	1
MYC	TERT	1
TERT	MYC	1
SP1	BLMH	1
FOXF2	BAMBI	1
EGR1	SLC9A3	1
ZNF300	IL6	1
KLF10	ITGAD	1
MYC	EIF4A1	1
MAX	TFRC	1
MARK4	CTNNB1	1
PPARGC1A	TFB1M	1
PPARGC1A	TFB2M	1
SPP1	EP300	1
TWIST1	YBX1	1
JUN	THBD	1
MOV10	RUNX1	-1
ETV4	CCND2	1
ETV4	CCND3	1
RELA	THBD	-1
ZFP36	VEGFA	-1
TBL1X	SLC27A1	1
FOS	KRT5	1
RUNX1	AXIN1	1
TP53	CKM	1
ETS1	CCND1	1
CCND1	ETS1	1
MAX	EIF4G1	1
PAX6	PCSK1	1
WWTR1	ASNS	-1
SND1	AGTR1	1
HIST2H3C	BCL2	1
TP63	DST	1
TFRC	MYC	1
MYC	TFRC	1
NKX2-5	MEF2C	-1
NR1H4	EDN1	-1
TP53	RABGGTA	1
DAAM1	FOXO3	1
DAAM1	FOXO1	1
DSP	CTNNB1	-1
MED25	PLIN1	1
MED26	PLIN1	1
MED27	PLIN1	1
MED28	PLIN1	1
MED29	PLIN1	1
MED20	PLIN1	1
MED21	PLIN1	1
MED22	PLIN1	1
MED23	PLIN1	1
MED24	PLIN1	1
MED30	PLIN1	1
MED31	PLIN1	1
FST	TCF7L2	1
MED14	PLIN1	1
MED15	PLIN1	1
MED16	PLIN1	1
MED17	PLIN1	1
MED18	PLIN1	1
MED19	PLIN1	1
MED10	PLIN1	1
MED11	PLIN1	1
MED12	PLIN1	1
MED13	PLIN1	1
SP1	TAF7	1
RXRA	ABCC3	-1
SREBF1	TM7SF2	1
SREBF2	TM7SF2	1
TM7SF2	SREBF2	1
MYB	KLF1	1
E2F1	MUC4	1
SP3	EAPP	-1
FOXA1	C4BPB	1
FOXA2	C4BPB	1
FOXA3	C4BPB	1
NFKB1	VEGFD	1
STAT3	HSP90AA1	1
NFKB1	VEGFA	1
TBL1XR1	RGL1	1
USF1	SLC22A2	1
WNT4	FOXO1	1
GATA1	GP6	1
GATA1	GP9	1
MYB	TFEC	1
TCF7L2	GCG	1
ESR1	CCND1	1
GATA4	GIP	1
FOXF2	WASF2	1
ESR1	CCNA2	1
TBL1XR1	SULT2A1	1
LEF1	CACNA1G	1
CREBBP	TXNRD1	1
SETD1A	ITGA2B	1
SETD1B	ITGA2B	1
NF1	GADD45A	1
L1TD1	NANOG	1
PER1	BCL2	1
ASCL1	NOTCH2	-1
ASCL1	NOTCH1	-1
CEBPA	ELANE	1
CEBPB	ELANE	1
CEBPD	ELANE	1
CCNC	FABP4	1
TP53	FAS	1
ING4	ANGPT1	-1
MAX	EIF2S1	1
RELA	HLA-A	1
TP63	FAS	1
MYC	GAPDH	1
TP73	FAS	1
MYOD1	NOTCH1	-1
TGS1	ME1	1
RB1	BRCA1	-1
FOXP3	USP21	1
JUN	TCF7L2	1
RELA	KLK3	-1
NFE2L2	BRCA1	1
RELA	SERPINB1	1
PML	EAF2	-1
PPARG	SLC2A4	-1
SP1	ADIPOQ	1
RELA	SERPINE1	1
TCF7L1	AXIN2	1
AXIN2	TCF7L2	1
TCF7L2	AXIN2	1
JUND	PLAU	1
FOSL2	TIMP1	-1
KLF4	IL1B	-1
PGR	KLK4	1
IKBKG	CTNNB1	1
YAF2	E2F1	-1
MAX	EIF4A1	1
FOSL2	COL1A2	1
STAT6	CNR1	1
MAX	GAPDH	1
NOTCH1	PTCRA	1
NOTCH3	PTCRA	1
TCF7L2	ID2	1
PTGDR	HIC1	1
ZNF300	CXCL8	1
STAT4	CNN2	1
