    Cell0	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65	Cell66	Cell67	Cell68	Cell69	Cell70	Cell71	Cell72	Cell73	Cell74	Cell75	Cell76	Cell77	Cell78	Cell79	Cell80	Cell81	Cell82	Cell83	Cell84	Cell85	Cell86	Cell87	Cell88	Cell89	Cell90	Cell91	Cell92	Cell93	Cell94	Cell95	Cell96	Cell97	Cell98	Cell99
TF1	50.0	77.0	12.0	44.0	6.0	8.0	89.0	88.0	16.0	54.0	13.0	79.0	80.0	82.0	62.0	62.0	86.0	85.0	56.0	70.0	5.0	66.0	57.0	56.0	10.0	39.0	85.0	94.0	72.0	40.0	95.0	45.0	48.0	85.0	93.0	41.0	90.0	47.0	34.0	33.0	82.0	36.0	80.0	47.0	66.0	96.0	12.0	33.0	93.0	43.0	25.0	46.0	67.0	10.0	74.0	82.0	65.0	47.0	87.0	1.0	12.0	0.0	50.0	39.0	24.0	8.0	79.0	41.0	4.0	87.0	4.0	53.0	34.0	97.0	13.0	58.0	61.0	93.0	81.0	96.0	12.0	97.0	87.0	71.0	11.0	14.0	30.0	34.0	45.0	14.0	62.0	21.0	77.0	34.0	63.0	89.0	95.0	43.0	50.0	65.0
Gene1	55.68936398275831	82.68936398275831	17.689363982758305	49.68936398275831	11.689363982758305	13.689363982758305	94.68936398275831	93.68936398275831	21.689363982758305	59.68936398275831	18.689363982758305	84.68936398275831	85.68936398275831	87.68936398275831	67.68936398275831	67.68936398275831	91.68936398275831	90.68936398275831	61.68936398275831	75.68936398275831	10.689363982758305	71.68936398275831	62.68936398275831	61.68936398275831	15.689363982758305	44.68936398275831	90.68936398275831	99.68936398275831	77.68936398275831	45.68936398275831	100.68936398275831	50.68936398275831	53.68936398275831	90.68936398275831	98.68936398275831	46.68936398275831	95.68936398275831	52.68936398275831	39.68936398275831	38.68936398275831	87.68936398275831	41.68936398275831	85.68936398275831	52.68936398275831	71.68936398275831	101.68936398275831	17.689363982758305	38.68936398275831	98.68936398275831	48.68936398275831	30.689363982758305	51.68936398275831	72.68936398275831	15.689363982758305	79.68936398275831	87.68936398275831	70.68936398275831	52.68936398275831	92.68936398275831	6.689363982758305	17.689363982758305	5.689363982758305	55.68936398275831	44.68936398275831	29.689363982758305	13.689363982758305	84.68936398275831	46.68936398275831	9.689363982758305	92.68936398275831	9.689363982758305	58.68936398275831	39.68936398275831	102.68936398275831	18.689363982758305	63.68936398275831	66.68936398275831	98.68936398275831	86.68936398275831	101.68936398275831	17.689363982758305	102.68936398275831	92.68936398275831	76.68936398275831	16.689363982758305	19.689363982758305	35.68936398275831	39.68936398275831	50.68936398275831	19.689363982758305	67.68936398275831	26.689363982758305	82.68936398275831	39.68936398275831	68.68936398275831	94.68936398275831	100.68936398275831	48.68936398275831	55.68936398275831	70.68936398275831
Gene2	56.71786955187605	83.71786955187605	18.71786955187605	50.71786955187605	12.717869551876051	14.717869551876051	95.71786955187605	94.71786955187605	22.71786955187605	60.71786955187605	19.71786955187605	85.71786955187605	86.71786955187605	88.71786955187605	68.71786955187605	68.71786955187605	92.71786955187605	91.71786955187605	62.71786955187605	76.71786955187605	11.717869551876051	72.71786955187605	63.71786955187605	62.71786955187605	16.71786955187605	45.71786955187605	91.71786955187605	100.71786955187605	78.71786955187605	46.71786955187605	101.71786955187605	51.71786955187605	54.71786955187605	91.71786955187605	99.71786955187605	47.71786955187605	96.71786955187605	53.71786955187605	40.71786955187605	39.71786955187605	88.71786955187605	42.71786955187605	86.71786955187605	53.71786955187605	72.71786955187605	102.71786955187605	18.71786955187605	39.71786955187605	99.71786955187605	49.71786955187605	31.71786955187605	52.71786955187605	73.71786955187605	16.71786955187605	80.71786955187605	88.71786955187605	71.71786955187605	53.71786955187605	93.71786955187605	7.717869551876051	18.71786955187605	6.717869551876051	56.71786955187605	45.71786955187605	30.71786955187605	14.717869551876051	85.71786955187605	47.71786955187605	10.717869551876051	93.71786955187605	10.717869551876051	59.71786955187605	40.71786955187605	103.71786955187605	19.71786955187605	64.71786955187605	67.71786955187605	99.71786955187605	87.71786955187605	102.71786955187605	18.71786955187605	103.71786955187605	93.71786955187605	77.71786955187605	17.71786955187605	20.71786955187605	36.71786955187605	40.71786955187605	51.71786955187605	20.71786955187605	68.71786955187605	27.71786955187605	83.71786955187605	40.71786955187605	69.71786955187605	95.71786955187605	101.71786955187605	49.71786955187605	56.71786955187605	71.71786955187605
Gene3	52.753604588264295	79.7536045882643	14.753604588264293	46.753604588264295	8.753604588264293	10.753604588264293	91.7536045882643	90.7536045882643	18.753604588264295	56.753604588264295	15.753604588264293	81.7536045882643	82.7536045882643	84.7536045882643	64.7536045882643	64.7536045882643	88.7536045882643	87.7536045882643	58.753604588264295	72.7536045882643	7.753604588264293	68.7536045882643	59.753604588264295	58.753604588264295	12.753604588264293	41.753604588264295	87.7536045882643	96.7536045882643	74.7536045882643	42.753604588264295	97.7536045882643	47.753604588264295	50.753604588264295	87.7536045882643	95.7536045882643	43.753604588264295	92.7536045882643	49.753604588264295	36.753604588264295	35.753604588264295	84.7536045882643	38.753604588264295	82.7536045882643	49.753604588264295	68.7536045882643	98.7536045882643	14.753604588264293	35.753604588264295	95.7536045882643	45.753604588264295	27.753604588264295	48.753604588264295	69.7536045882643	12.753604588264293	76.7536045882643	84.7536045882643	67.7536045882643	49.753604588264295	89.7536045882643	3.7536045882642934	14.753604588264293	2.7536045882642934	52.753604588264295	41.753604588264295	26.753604588264295	10.753604588264293	81.7536045882643	43.753604588264295	6.753604588264293	89.7536045882643	6.753604588264293	55.753604588264295	36.753604588264295	99.7536045882643	15.753604588264293	60.753604588264295	63.753604588264295	95.7536045882643	83.7536045882643	98.7536045882643	14.753604588264293	99.7536045882643	89.7536045882643	73.7536045882643	13.753604588264293	16.753604588264295	32.753604588264295	36.753604588264295	47.753604588264295	16.753604588264295	64.7536045882643	23.753604588264295	79.7536045882643	36.753604588264295	65.7536045882643	91.7536045882643	97.7536045882643	45.753604588264295	52.753604588264295	67.7536045882643
Gene4	56.603367758877006	83.603367758877	18.603367758877006	50.603367758877006	12.603367758877006	14.603367758877006	95.603367758877	94.603367758877	22.603367758877006	60.603367758877006	19.603367758877006	85.603367758877	86.603367758877	88.603367758877	68.603367758877	68.603367758877	92.603367758877	91.603367758877	62.603367758877006	76.603367758877	11.603367758877006	72.603367758877	63.603367758877006	62.603367758877006	16.603367758877006	45.603367758877006	91.603367758877	100.603367758877	78.603367758877	46.603367758877006	101.603367758877	51.603367758877006	54.603367758877006	91.603367758877	99.603367758877	47.603367758877006	96.603367758877	53.603367758877006	40.603367758877006	39.603367758877006	88.603367758877	42.603367758877006	86.603367758877	53.603367758877006	72.603367758877	102.603367758877	18.603367758877006	39.603367758877006	99.603367758877	49.603367758877006	31.603367758877006	52.603367758877006	73.603367758877	16.603367758877006	80.603367758877	88.603367758877	71.603367758877	53.603367758877006	93.603367758877	7.603367758877006	18.603367758877006	6.603367758877006	56.603367758877006	45.603367758877006	30.603367758877006	14.603367758877006	85.603367758877	47.603367758877006	10.603367758877006	93.603367758877	10.603367758877006	59.603367758877006	40.603367758877006	103.603367758877	19.603367758877006	64.603367758877	67.603367758877	99.603367758877	87.603367758877	102.603367758877	18.603367758877006	103.603367758877	93.603367758877	77.603367758877	17.603367758877006	20.603367758877006	36.603367758877006	40.603367758877006	51.603367758877006	20.603367758877006	68.603367758877	27.603367758877006	83.603367758877	40.603367758877006	69.603367758877	95.603367758877	101.603367758877	49.603367758877006	56.603367758877006	71.603367758877
Gene5	51.81199913097204	78.81199913097204	13.811999130972044	45.81199913097204	7.811999130972044	9.811999130972044	90.81199913097204	89.81199913097204	17.811999130972044	55.81199913097204	14.811999130972044	80.81199913097204	81.81199913097204	83.81199913097204	63.81199913097204	63.81199913097204	87.81199913097204	86.81199913097204	57.81199913097204	71.81199913097204	6.811999130972044	67.81199913097204	58.81199913097204	57.81199913097204	11.811999130972044	40.81199913097204	86.81199913097204	95.81199913097204	73.81199913097204	41.81199913097204	96.81199913097204	46.81199913097204	49.81199913097204	86.81199913097204	94.81199913097204	42.81199913097204	91.81199913097204	48.81199913097204	35.81199913097204	34.81199913097204	83.81199913097204	37.81199913097204	81.81199913097204	48.81199913097204	67.81199913097204	97.81199913097204	13.811999130972044	34.81199913097204	94.81199913097204	44.81199913097204	26.811999130972044	47.81199913097204	68.81199913097204	11.811999130972044	75.81199913097204	83.81199913097204	66.81199913097204	48.81199913097204	88.81199913097204	2.811999130972044	13.811999130972044	1.811999130972044	51.81199913097204	40.81199913097204	25.811999130972044	9.811999130972044	80.81199913097204	42.81199913097204	5.811999130972044	88.81199913097204	5.811999130972044	54.81199913097204	35.81199913097204	98.81199913097204	14.811999130972044	59.81199913097204	62.81199913097204	94.81199913097204	82.81199913097204	97.81199913097204	13.811999130972044	98.81199913097204	88.81199913097204	72.81199913097204	12.811999130972044	15.811999130972044	31.811999130972044	35.81199913097204	46.81199913097204	15.811999130972044	63.81199913097204	22.811999130972044	78.81199913097204	35.81199913097204	64.81199913097204	90.81199913097204	96.81199913097204	44.81199913097204	51.81199913097204	66.81199913097204
Gene6	57.11853450332215	84.11853450332215	19.118534503322156	51.11853450332215	13.118534503322156	15.118534503322156	96.11853450332215	95.11853450332215	23.118534503322156	61.11853450332215	20.118534503322156	86.11853450332215	87.11853450332215	89.11853450332215	69.11853450332215	69.11853450332215	93.11853450332215	92.11853450332215	63.11853450332215	77.11853450332215	12.118534503322156	73.11853450332215	64.11853450332215	63.11853450332215	17.118534503322156	46.11853450332215	92.11853450332215	101.11853450332215	79.11853450332215	47.11853450332215	102.11853450332215	52.11853450332215	55.11853450332215	92.11853450332215	100.11853450332215	48.11853450332215	97.11853450332215	54.11853450332215	41.11853450332215	40.11853450332215	89.11853450332215	43.11853450332215	87.11853450332215	54.11853450332215	73.11853450332215	103.11853450332215	19.118534503322156	40.11853450332215	100.11853450332215	50.11853450332215	32.11853450332215	53.11853450332215	74.11853450332215	17.118534503322156	81.11853450332215	89.11853450332215	72.11853450332215	54.11853450332215	94.11853450332215	8.118534503322156	19.118534503322156	7.118534503322155	57.11853450332215	46.11853450332215	31.118534503322156	15.118534503322156	86.11853450332215	48.11853450332215	11.118534503322156	94.11853450332215	11.118534503322156	60.11853450332215	41.11853450332215	104.11853450332215	20.118534503322156	65.11853450332215	68.11853450332215	100.11853450332215	88.11853450332215	103.11853450332215	19.118534503322156	104.11853450332215	94.11853450332215	78.11853450332215	18.118534503322156	21.118534503322156	37.11853450332215	41.11853450332215	52.11853450332215	21.118534503322156	69.11853450332215	28.118534503322156	84.11853450332215	41.11853450332215	70.11853450332215	96.11853450332215	102.11853450332215	50.11853450332215	57.11853450332215	72.11853450332215
Gene7	55.79039676632889	82.7903967663289	17.79039676632889	49.79039676632889	11.790396766328891	13.790396766328891	94.7903967663289	93.7903967663289	21.79039676632889	59.79039676632889	18.79039676632889	84.7903967663289	85.7903967663289	87.7903967663289	67.7903967663289	67.7903967663289	91.7903967663289	90.7903967663289	61.79039676632889	75.7903967663289	10.790396766328891	71.7903967663289	62.79039676632889	61.79039676632889	15.790396766328891	44.79039676632889	90.7903967663289	99.7903967663289	77.7903967663289	45.79039676632889	100.7903967663289	50.79039676632889	53.79039676632889	90.7903967663289	98.7903967663289	46.79039676632889	95.7903967663289	52.79039676632889	39.79039676632889	38.79039676632889	87.7903967663289	41.79039676632889	85.7903967663289	52.79039676632889	71.7903967663289	101.7903967663289	17.79039676632889	38.79039676632889	98.7903967663289	48.79039676632889	30.79039676632889	51.79039676632889	72.7903967663289	15.790396766328891	79.7903967663289	87.7903967663289	70.7903967663289	52.79039676632889	92.7903967663289	6.790396766328891	17.79039676632889	5.790396766328891	55.79039676632889	44.79039676632889	29.79039676632889	13.790396766328891	84.7903967663289	46.79039676632889	9.790396766328891	92.7903967663289	9.790396766328891	58.79039676632889	39.79039676632889	102.7903967663289	18.79039676632889	63.79039676632889	66.7903967663289	98.7903967663289	86.7903967663289	101.7903967663289	17.79039676632889	102.7903967663289	92.7903967663289	76.7903967663289	16.79039676632889	19.79039676632889	35.79039676632889	39.79039676632889	50.79039676632889	19.79039676632889	67.7903967663289	26.79039676632889	82.7903967663289	39.79039676632889	68.7903967663289	94.7903967663289	100.7903967663289	48.79039676632889	55.79039676632889	70.7903967663289
Gene8	51.76247926927	78.76247926927	13.762479269270004	45.76247926927	7.762479269270004	9.762479269270004	90.76247926927	89.76247926927	17.762479269270003	55.76247926927	14.762479269270004	80.76247926927	81.76247926927	83.76247926927	63.76247926927	63.76247926927	87.76247926927	86.76247926927	57.76247926927	71.76247926927	6.762479269270004	67.76247926927	58.76247926927	57.76247926927	11.762479269270004	40.76247926927	86.76247926927	95.76247926927	73.76247926927	41.76247926927	96.76247926927	46.76247926927	49.76247926927	86.76247926927	94.76247926927	42.76247926927	91.76247926927	48.76247926927	35.76247926927	34.76247926927	83.76247926927	37.76247926927	81.76247926927	48.76247926927	67.76247926927	97.76247926927	13.762479269270004	34.76247926927	94.76247926927	44.76247926927	26.762479269270003	47.76247926927	68.76247926927	11.762479269270004	75.76247926927	83.76247926927	66.76247926927	48.76247926927	88.76247926927	2.7624792692700044	13.762479269270004	1.7624792692700042	51.76247926927	40.76247926927	25.762479269270003	9.762479269270004	80.76247926927	42.76247926927	5.762479269270004	88.76247926927	5.762479269270004	54.76247926927	35.76247926927	98.76247926927	14.762479269270004	59.76247926927	62.76247926927	94.76247926927	82.76247926927	97.76247926927	13.762479269270004	98.76247926927	88.76247926927	72.76247926927	12.762479269270004	15.762479269270004	31.762479269270003	35.76247926927	46.76247926927	15.762479269270004	63.76247926927	22.762479269270003	78.76247926927	35.76247926927	64.76247926927	90.76247926927	96.76247926927	44.76247926927	51.76247926927	66.76247926927
Gene9	50.891828489182245	77.89182848918225	12.891828489182242	44.891828489182245	6.891828489182243	8.891828489182242	89.89182848918225	88.89182848918225	16.89182848918224	54.891828489182245	13.891828489182242	79.89182848918225	80.89182848918225	82.89182848918225	62.891828489182245	62.891828489182245	86.89182848918225	85.89182848918225	56.891828489182245	70.89182848918225	5.891828489182243	66.89182848918225	57.891828489182245	56.891828489182245	10.891828489182242	39.891828489182245	85.89182848918225	94.89182848918225	72.89182848918225	40.891828489182245	95.89182848918225	45.891828489182245	48.891828489182245	85.89182848918225	93.89182848918225	41.891828489182245	90.89182848918225	47.891828489182245	34.891828489182245	33.891828489182245	82.89182848918225	36.891828489182245	80.89182848918225	47.891828489182245	66.89182848918225	96.89182848918225	12.891828489182242	33.891828489182245	93.89182848918225	43.891828489182245	25.89182848918224	46.891828489182245	67.89182848918225	10.891828489182242	74.89182848918225	82.89182848918225	65.89182848918225	47.891828489182245	87.89182848918225	1.8918284891822426	12.891828489182242	0.8918284891822426	50.891828489182245	39.891828489182245	24.89182848918224	8.891828489182242	79.89182848918225	41.891828489182245	4.891828489182243	87.89182848918225	4.891828489182243	53.891828489182245	34.891828489182245	97.89182848918225	13.891828489182242	58.891828489182245	61.891828489182245	93.89182848918225	81.89182848918225	96.89182848918225	12.891828489182242	97.89182848918225	87.89182848918225	71.89182848918225	11.891828489182242	14.891828489182242	30.89182848918224	34.891828489182245	45.891828489182245	14.891828489182242	62.891828489182245	21.89182848918224	77.89182848918225	34.891828489182245	63.891828489182245	89.89182848918225	95.89182848918225	43.891828489182245	50.891828489182245	65.89182848918225
